job_title,company_name,location,salary,qualifications_experience,education_requirements
Data Administrator - Research Scientist 2,Minnesota Department of Health,"Saint Paul, MN",$32.4 - $47.76 per hour,"['Hybrid 50%', 'Full-Time']",Not Listed
Data Analyst,Reveleer,Remote,Not Listed,"['Experience with Artificial Intelligence', 'Healthcare data and analytics']",Not Listed
Lead Data Scientist - Recommendations,Scribd,"San Francisco, CA",$162k - $252.5k,"['Translating product goals into metrics', 'Collaboration and attitude']",Not Listed
2026 Internship Program - Data Engineering Intern,Toll Brothers,"Fort Washington, PA",Not Listed,['Internship'],Not Listed
Lead Data Scientist,Epoch Biodesign,"Arcadia, CA",$146.25k - $262k,"['Strong understanding of machine learning', 'Generative AI', 'Innovative and results-oriented']",Not Listed
Data Scientist,Codepath,Remote,"$90,000 to $130,000 per year",['Full-Time'],Not Listed
Lead Data Scientist,Recooty,"Lansdale, PA",Not Listed,"['Manage data scientist and data specialist team', 'Identify efficient source for quality data collection', 'Lead data collection and data mining processes', 'Ensure and guarantee data integrity', 'Analyze data and interpret data problems']",Not Listed
Lead Data Scientist,"Vizient, Inc","Chicago, IL",$117.6k - $206k,['Full time'],Not Listed
Lead Data Scientist,Fieldguide,"San Francisco, CA",Not Listed,"['Minimum 5+ years of experience as a Data Scientist, Data Analyst, or similar role', 'Experience working with large and complex datasets']",Not Listed
Lead Data Scientist (Pricing),Redwood Logistics LLC,"Chicago, IL",$170k - $220k,['Full time'],Not Listed
Lead Data Scientist,Chestnutfi,"San Francisco, CA",Not Listed,['Scale and lead a team of analysts and data scientists'],Not Listed
Data Scientist III,SGS Consulting,Remote,Not Listed,"['Working in a technically complex and ambiguous environment', 'Previous ads experience preferred', 'Experience with data querying languages (e.g., SQL)', 'Experience with scripting languages (e.g., Python)', 'Experience with statistical/mathematical']",Not Listed
Lead Data Scientist - Remote,Experian Group,"California, MO",Not Listed,['Work on impactful AI and machine learning projects'],Not Listed
Data Analyst,Zearn,Remote,$75k - $85k,['Create analyses and reports'],Not Listed
Lead Data Scientist,Honeywell International Inc.,"Atlanta, GA",Not Listed,"['Artificial intelligence (AI) and data analytics', 'Thirst for learning']",Not Listed
Data Scientist,Thirdwave,Remote,Not Listed,"['Strong analytical mindset', 'Capable of leading advanced data analytics']",Not Listed
Lead Data Scientist - UGC,Scribd,"San Francisco, CA",$153k,"['Own measurable outcomes across UGC ecosystem', 'Collaboration and attitude']",Not Listed
Lead Data Analytics Engineer,LendingClub,"San Francisco, CA",Not Listed,"['Analyze data warehouse and marts', 'Understand data usage', 'Identify, design, and implement']",Not Listed
Senior Data Scientist (Senior Consultant),"Dovel Technologies, Inc","New York, NY",$113k - $188k,['Full time'],Not Listed
Entry level Data Analyst,Arc Document Solutions,Remote,Not Listed,['Highly motivated'],Not Listed
