job_title,company_name,location,salary,qualifications_experience,education_requirements
Data Administrator - Research Scientist 2,Minnesota Department of Health,"Saint Paul, MN",$32.4 - $47.76 per hour,"['Telework Eligible: Yes, Hybrid 50%', 'Full-Time', 'Regular/Temporary: Temporary work']",Not Listed
2026 Internship Program - Data Engineering Intern,Toll Brothers,"Fort Washington, PA",Not Listed,"['Internship', 'Work at office']",Not Listed
Data Scientist,Insight Global,"Portland, OR",Not Listed,"['1 Day On-site, 4 Days Remote', '6 Month Contract-to-Hire', 'Develop, deploy, and maintain scalable machine learning models']",Not Listed
Data Scientist,Recooty,"San Francisco, CA",$80k - $100k,"['Remote role', 'Build and maintain predictive models and data pipelines', 'Analyze data']",Not Listed
Data Analyst,Reveleer,Remote,Not Listed,"['Remote Opportunity', 'Knowledge of Quality Improvement, Risk Adjustment, and Member Management programs']",Not Listed
DATA SCIENTIST,Goflux,"San Francisco, CA",Not Listed,"['Experienced data scientist', 'Mathematical and statistical expertise', 'Natural curiosity and a creative']",Not Listed
Data Scientist,First Quality,"Lewistown, PA","$2,500 per month",['Must have manufacturing experience'],Not Listed
Data Scientist,"(EDO) Entertainment Data Oracle, Inc.","Los Angeles, CA",$120k - $150k,"['Policy of 2 days a week in any EDO office', 'Drive modeling and analytical methodology']",Not Listed
Data Scientist,Arcade,"San Francisco, CA",Not Listed,"['Analytical, entrepreneurial', 'Lead analytics, experimentation, and data science capabilities']",Not Listed
Data Scientist,Scoutbee,"San Francisco, CA",$8 per hour,"['Remote work', 'Integrating AI search algorithms with dataset', 'Drive activity and engagement across buyer-supplier']",Not Listed
Data Analyst,Zearn,Remote,$75k - $85k,"['Create analyses and reports', 'Empower teams across the organization']",Not Listed
Senior Data Center Mechanical Systems Engineer (AUSTIN),"JABIL CIRCUIT, INC","Austin, TX",$132.4k - $238.4k,"['Expertise in metal structures, frame design, pipes and fabrication', 'Designing robust mechanical systems for power and cooling infrastructure']",Not Listed
Data Scientist,Asana,"San Francisco, CA",$248k - $316k,"['Hands-on technical mentorship and guidance', 'Navigate complex modeling']",Not Listed
Data Entry Clerk Remote | Part-Time or Full-Time | No Experience Needed,Spot On Media,Remote,$30 - $45 per hour,"['Reliable and detail-oriented', 'Handle simple administrative tasks', 'No Experience Needed']",Not Listed
Data Center Cooling Solutions Engineer (AUSTIN),"JABIL CIRCUIT, INC","Austin, TX",$132.4k - $238.4k,"['Knowledge of thermal components', 'Solid comprehension of thermal design and analysis', 'Developing specifications and component placement']",Not Listed
"Senior Data Scientist, Decisions",Truebill,"San Francisco, CA",$180k - $220k,"['Building internal and external products', 'Strengthen customer relationships']",Not Listed
Data Analyst,Thesalonhype,Remote,Not Listed,['Passionate individuals committed to delivering exceptional'],Not Listed
Senior Data Scientist,"Plum, Inc.","San Francisco, CA",Not Listed,"['Lead the development of scalable Generative AI pipelines', 'Process raw data and generate context-aware results']",Not Listed
Senior Data Scientist,"Social Finance, Inc. (SoFi)","San Francisco, CA",$128k - $240k,"['Full stack Senior Data Scientist', 'Shape business strategy and product development decisions']",Not Listed
Data Entry Clerk,Stratejic Relationships,Remote,Not Listed,"['Detail-oriented', 'Ensuring accuracy and efficiency of data management processes']",Not Listed
