job_title,company_name,location,salary,salary_type,Job Description,Job Tags,job_url
Data Administrator - Research Scientist 2,Minnesota Department of Health,"Saint Paul, MN",32.4,hourly,"Job Details Working Title: Data Administrator Job Class: Research Scientist 2 Agency: Health Department Job ID : 91935 Location : St. Paul Telework Eligible : Yes, Hybrid 50% Full/Part Time : Full-Time Regular/Temporary","Hourly pay, Full time, Temporary work, Part time, Live in, Work at office, Local area, Remote work, Relocation, Monday to Friday, Shift work, Day shift",https://jooble.org/away/5968186734884599128?p=1&pos=1&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=297&relb=10&brelb=10&scr=19999.833000039842&bscr=19999.833000039842&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-2870426143911798709
2026 Internship Program - Data Engineering Intern,Toll Brothers,"Fort Washington, PA",,Not Listed,"creating an exceptional place to work that is inclusive to all. Toll Brothers , America's leading luxury home builder, seeks a Data Engineering Intern to join our team at our Corporate office located in Fort Washington, Pennsylvania. What are the primary responsibilities","Internship, Work at office, Local area",https://jooble.org/desc/-8958610974848145229?ckey=data+scientist&rgn=55157&pos=2&groupId=1077&elckey=8897657513733978897&pageType=20&p=1&sid=-8346189895328300746&jobAge=86&relb=110&brelb=110&bscr=17602.94689608448&scr=17602.94689608448&searchTestGroup=1_2_1&iid=-3909226159901931002
Data Scientist,Insight Global,"Portland, OR",,Not Listed,"Position: Data Scientist Location: Montgomery Park – Portland, OR 1 Day On-site, 4 Days Remote Contract: 6 Month Contract-to-Hire Location: Portland (1 day a week) JOB DESCRIPTION Develop, deploy, and maintain scalable machine learning models and analytical","Contract work, Remote work, 1 day per week",https://jooble.org/away/-7569745822452893743?p=1&pos=3&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=14&relb=10&brelb=10&scr=15792.46273586929&bscr=15792.46273586929&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-3392431180730729344
Data Scientist,Recooty,"San Francisco, CA",80000.0,yearly,About the Role: Aries is seeking a Data Scientist to join our data team. This remote role will leverage data analytics to enhance user experience and drive business decisions. What You’ll Do: Build and maintain predictive models and data pipelines. Analyze data,Remote work,https://jooble.org/away/2850857609125217330?p=1&pos=4&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=62&relb=10&brelb=10&scr=15704.282105130469&bscr=15704.282105130469&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-9141041760111169991
Data Analyst,Reveleer,Remote,,Not Listed,"Data Analyst Remote Opportunity Reveleer is a healthcare data and analytics company that uses Artificial Intelligence to give health plans across all business lines greater control over their Quality Improvement, Risk Adjustment, and Member Management programs","Remote job, Full time, Local area",https://jooble.org/desc/1614091884387673076?ckey=data+scientist&rgn=55157&pos=5&groupId=1077&elckey=8897657513733978897&pageType=20&p=1&sid=-8346189895328300746&jobAge=422&relb=110&brelb=110&bscr=15574.655743123853&scr=15574.655743123853&searchTestGroup=1_2_1&iid=-5346474066849048737
DATA SCIENTIST,Goflux,"San Francisco, CA",,Not Listed,"At Flux, we rely on insightful data to power our systems and solutions. We’re seeking an experienced data scientist to deliver insights on a daily basis. The ideal candidate will have mathematical and statistical expertise, along with natural curiosity and a creative","Permanent employment, Remote work",https://jooble.org/away/2061290611881579052?p=1&pos=6&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=30&relb=10&brelb=10&scr=15446.16032791041&bscr=15446.16032791041&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=999075704698531943
Data Scientist,First Quality,"Lewistown, PA",2500.0,monthly,"environment focused on continuous learning, professional development, and our mission to Make Things Better®. We are seeking a Data Scientist for our First Quality facilities located in McElhattan, PA; Lewistown, PA; and Macon, GA. **Must have manufacturing","Immediate start, Flexible hours",https://jooble.org/away/1996992624953383394?p=1&pos=7&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=110&relb=10&brelb=10&scr=15337.066116468719&bscr=15337.066116468719&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=8468370170097876265
Data Scientist,"(EDO) Entertainment Data Oracle, Inc.","Los Angeles, CA",120000.0,yearly,"entertainment studios, and ad agencies. EDO’s investment-grade data align advertising investments to business results – with detailed policy of 2 days a week in any EDO office. The Role Data Scientists at EDO drive EDO's modeling and analytical methodology to","Work at office, Flexible hours, 2 days per week",https://jooble.org/away/3250316216468045786?p=1&pos=8&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=14&relb=10&brelb=10&scr=15292.802768743959&bscr=15292.802768743959&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-331770998043646159
Data Scientist,Arcade,"San Francisco, CA",,Not Listed,"expression, and on-demand manufacturing, and we’re building fast. Role Summary We are seeking an analytical, entrepreneurial Data Scientist to lead Arcade’s analytics, experimentation, and data science capabilities. This is a highly cross‑functional role that",Local area,https://jooble.org/away/-6295827079008016186?p=1&pos=9&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=62&relb=10&brelb=10&scr=15223.25566344824&bscr=15223.25566344824&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-3960049247071204715
Data Scientist,Scoutbee,"San Francisco, CA",8.0,hourly,"integrating our cutting-edge AI search algorithms and rich supplier data with Coupa’s $8T+ dataset, we’re solving complex discovery. We’re hiring a Data Scientist (US) to drive activity and engagement across our buyer-supplier","Remote work, Worldwide, Flexible hours",https://jooble.org/away/8321201863279436803?p=1&pos=10&rgn=55157&pageType=20&ckey=data+scientist&sid=-8346189895328300746&jobAge=30&relb=10&brelb=10&scr=15205.167713639934&bscr=15205.167713639934&elckey=8897657513733978897&searchTestGroup=1_2_1&iid=-8310139804094074538
