job_title,company_name,location,salary,salary_type,job_description,job_tags,job_url
Data Administrator - Research Scientist 2,Minnesota Department of Health,"Saint Paul, MN",40.08,hourly,"Job Details Working Title: Data Administrator Job Class: Research Scientist 2 Agency: Health Department Job ID : 91935 Location : St. Paul Telework Eligible : Yes, Hybrid 50% Full/Part Time : Full-Time Regular/Temporary :...","Hourly pay, Full time, Temporary work, Part time, Live in, Work at office, Local area, Remote work, Relocation, Monday to Friday, Shift work, Day shift",https://jooble.org/away/5968186734884599128?p=1&pos=1&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=318&relb=10&brelb=10&scr=19999.83333466473&bscr=19999.83333466473&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=3264175112108596168
2026 Internship Program - Data Engineering Intern,Toll Brothers,"Fort Washington, PA",,Not Listed,"...creating an exceptional place to work that is inclusive to all. Toll Brothers , America's leading luxury home builder, seeks a Data Engineering Intern to join our team at our Corporate office located in Fort Washington, Pennsylvania. What are the primary responsibilities...","Internship, Work at office, Local area",https://jooble.org/desc/-8958610974848145229?ckey=data+scientist&rgn=55157&pos=2&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=107&relb=110&brelb=110&bscr=17265.962587168087&scr=17265.962587168087&searchTestGroup=1_2_1&iid=-5827635394422591255
Data Scientist,Recooty,"San Francisco, CA",90000.0,yearly,...About the Role: Aries is seeking a Data Scientist to join our data team. This remote role will leverage data analytics to enhance user experience and drive business decisions. What You’ll Do: Build and maintain predictive models and data pipelines. Analyze data...,Remote work,https://jooble.org/away/2850857609125217330?p=1&pos=3&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=83&relb=10&brelb=10&scr=15965.117193665721&bscr=15965.117193665721&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=8816415320282927542
Data Scientist,Insight Global,"Portland, OR",,Not Listed,"...Position: Data Scientist Location: Montgomery Park – Portland, OR 1 Day On-site, 4 Days Remote Contract: 6 Month Contract-to-Hire Location: Portland (1 day a week) JOB DESCRIPTION Develop, deploy, and maintain scalable machine learning models and analytical...","Contract work, Remote work, 1 day per week",https://jooble.org/away/-7569745822452893743?p=1&pos=4&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=35&relb=10&brelb=10&scr=15909.94148646496&bscr=15909.94148646496&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=5035869419137896291
DATA SCIENTIST,Goflux,"San Francisco, CA",,Not Listed,"...At Flux, we rely on insightful data to power our systems and solutions. We’re seeking an experienced data scientist to deliver insights on a daily basis. The ideal candidate will have mathematical and statistical expertise, along with natural curiosity and a creative...","Permanent employment, Remote work",https://jooble.org/away/2061290611881579052?p=1&pos=5&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=50&relb=10&brelb=10&scr=15355.037936130302&bscr=15355.037936130302&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-901985119292831356
Data Scientist,Arcade,"San Francisco, CA",,Not Listed,"...expression, and on-demand manufacturing, and we’re building fast. Role Summary We are seeking an analytical, entrepreneurial Data Scientist to lead Arcade’s analytics, experimentation, and data science capabilities. This is a highly cross‑functional role that...",Local area,https://jooble.org/away/-6295827079008016186?p=1&pos=6&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=83&relb=10&brelb=10&scr=15214.496487543447&bscr=15214.496487543447&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=2916269637670893490
Data Scientist,Scoutbee,"San Francisco, CA",8.0,hourly,"...integrating our cutting-edge AI search algorithms and rich supplier data with Coupa’s $8T+ dataset, we’re solving complex discovery... ...been a more exciting time to join us. We’re hiring a Data Scientist (US) to drive activity and engagement across our buyer-supplier...","Remote work, Worldwide, Flexible hours",https://jooble.org/away/8321201863279436803?p=1&pos=7&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=50&relb=10&brelb=10&scr=15089.83734091144&bscr=15089.83734091144&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-1924070037561941543
Data Analyst,Reveleer,Remote,,Not Listed,"...Data Analyst Remote Opportunity Reveleer is a healthcare data and analytics company that uses Artificial Intelligence to give health plans across all business lines greater control over their Quality Improvement, Risk Adjustment, and Member Management programs...","Remote job, Full time, Local area",https://jooble.org/desc/1614091884387673076?ckey=data+scientist&rgn=55157&pos=8&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=443&relb=110&brelb=110&bscr=15017.688511015172&scr=15017.688511015172&searchTestGroup=1_2_1&iid=5589403469310838492
Data Analyst,Thesalonhype,Remote,,Not Listed,"...Position: Data Analyst Company Overview: At Thesalonhype, we are a fast-growing company in the beauty industry, providing innovative and high-quality products to our customers. Our team is made up of passionate individuals who are committed to delivering exceptional...","Remote job, Full time",https://jooble.org/desc/-3495474485127456681?ckey=data+scientist&rgn=55157&pos=9&groupId=1077&elckey=3431648277246123730&pageType=20&p=1&sid=-3853338646247838305&jobAge=203&relb=100&brelb=100&bscr=14967.509273852223&scr=14967.509273852223&searchTestGroup=1_2_1&iid=-5432077960370672875
Senior Data Scientist,"Plum, Inc.","San Francisco, CA",,Not Listed,"...work hard, have fun, and make a meaningful impact—both together and individually. Job Summary We are looking for a Senior Data Scientist to lead the development of scalable Generative AI pipelines that process raw data and generate context‑aware results to power...","Work experience placement, Remote work",https://jooble.org/away/1026675645834015644?p=1&pos=10&rgn=55157&pageType=20&ckey=data+scientist&sid=-3853338646247838305&jobAge=50&relb=10&brelb=10&scr=14934.284588279652&bscr=14934.284588279652&elckey=3431648277246123730&searchTestGroup=1_2_1&iid=-4676231564500116780
